10/04/2020 21:42 	BCS94Q 	2 361 
10/04/2020 14:51 	AIB01FX 	3 867 
10/04/2020 11:09 	NAK010 	2 379 
10/04/2020 09:18 	BGA112D 	3 592 
10/04/2020 09:12 	AIB31SX 	3 211  
09/04/2020 23:08 	TAY4558 	1 052 
09/04/2020 17:12 	JFA44B 	2 485 
09/04/2020 13:46 	MILAN76 	4 210 
09/04/2020 12:57 	AIB03SX 	564 
09/04/2020 11:54 	BGA113D 	3 196 
09/04/2020 10:52 	BGA114C 	3 058 
09/04/2020 10:42 	FWWEZ 	5 194 
09/04/2020 09:33 	AIB66XL 	2 837 
09/04/2020 07:54 	AFR61RJ 	3 409  
08/04/2020 23:26 	TAY4558 	648 
08/04/2020 20:52 	BCS1929 	1 380 
08/04/2020 16:16 	FWWEV 	839 
08/04/2020 13:13 	AIB56XB 	2 097 
08/04/2020 11:59 	BGA213B 	2 250 
08/04/2020 11:34 	AIB05BS 	816 
08/04/2020 10:50 	AIB05BS 	2 982 
08/04/2020 10:42 	BGA114D 	3 394 
08/04/2020 10:03 	BGA113C 	3 821 
08/04/2020 09:56 	CNF001P 	2 148 
08/04/2020 07:48 	AFR61RJ 	3 714 
07/04/2020 23:28 	TAY4558 	3 928 
07/04/2020 22:51 	TAY4123 	3 401 
07/04/2020 21:35 	BCS1929 	313 
07/04/2020 12:07 	BGA113D 	3 638 
07/04/2020 11:17 	BGA214C 	3 379 
07/04/2020 10:09 	AIB01BE 	824 
07/04/2020 09:40 	BGA114H 	3 829 
07/04/2020 08:49 	BGA112A 	3 112 
07/04/2020 08:32 	AIB01BE 	4 027 
07/04/2020 06:35 	BCS1928 	4 576 
06/04/2020 23:25 	TAY4558 	3 531 
06/04/2020 23:08 	TAY4123 	2 410 
06/04/2020 20:52 	BCS1929 	1 106 
06/04/2020 20:14 	SR6373 	702 
06/04/2020 16:18 	AIB55XB 	3 478 
06/04/2020 15:52 	AIB55XB 	3 790 
06/04/2020 15:14 	AUI2713 	847 
06/04/2020 15:10 	AUI2713 	1 144 
06/04/2020 15:06 	AUI1125 	816 
06/04/2020 14:53 	AIB55XB 	3 470 
06/04/2020 14:43 	EZY9014 	4 141 
06/04/2020 14:10 	BGA213C 	2 120 
06/04/2020 12:01 	BGA113F 	3 775 
06/04/2020 11:34 	AIB01KE 	3 051 
06/04/2020 11:22 	BGA114D 	4 385 
06/04/2020 09:15 	BGA117A 	4 294 
06/04/2020 07:54 	AFR61RJ 	2 814 
06/04/2020 04:40 	TAY4353 	1 838
